cast,crew,id
"[{'cast_id': 3, 'character': 'Taisto Olavi Kasurinen', 'credit_id': '52fe420dc3a36847f8000029', 'gender': 0, 'id': 54768, 'name': 'Turo Pajala', 'order': 0, 'profile_path': None}, {'cast_id': 4, 'character': 'Irmeli Katariina Pihlaja', 'credit_id': '52fe420dc3a36847f800002d', 'gender': 0, 'id': 54769, 'name': 'Susanna Haavisto', 'order': 1, 'profile_path': None}, {'cast_id': 5, 'character': 'Mikkonen', 'credit_id': '52fe420dc3a36847f8000031', 'gender': 2, 'id': 4826, 'name': 'Matti Pellonpää', 'order': 2, 'profile_path': '/7WuLvkuWphUAtW6QQwtF3WrwUKE.jpg'}, {'cast_id': 6, 'character': 'Riku', 'credit_id': '52fe420dc3a36847f8000035', 'gender': 0, 'id': 54770, 'name': 'Eetu Hilkamo', 'order': 3, 'profile_path': None}]","[{'credit_id': '52fe420dc3a36847f800001f', 'department': 'Writing', 'gender': 0, 'id': 16767, 'job': 'Screenplay', 'name': 'Aki Kaurismäki', 'profile_path': '/8nQcTzKUmRh6MPprd1n6iOauYPf.jpg'}, {'credit_id': '52fe420dc3a36847f8000025', 'department': 'Directing', 'gender': 0, 'id': 16767, 'job': 'Director', 'name': 'Aki Kaurismäki', 'profile_path': '/8nQcTzKUmRh6MPprd1n6iOauYPf.jpg'}, {'credit_id': '52fe420dc3a36847f800003b', 'department': 'Camera', 'gender': 2, 'id': 16769, 'job': 'Director of Photography', 'name': 'Timo Salminen', 'profile_path': None}, {'credit_id': '52fe420dc3a36847f8000041', 'department': 'Editing', 'gender': 0, 'id': 54766, 'job': 'Editor', 'name': 'Raija Talvio', 'profile_path': None}, {'credit_id': '52fe420dc3a36847f8000047', 'department': 'Art', 'gender': 2, 'id': 53836, 'job': 'Production Design', 'name': 'Risto Karhula', 'profile_path': None}, {'credit_id': '52fe420dc3a36847f800004d', 'department': 'Costume & Make-Up', 'gender': 0, 'id': 54771, 'job': 'Costume Design', 'name': 'Tuula Hilkamo', 'profile_path': None}]",2
"[{'cast_id': 5, 'character': 'Nikander', 'credit_id': '52fe420dc3a36847f8000087', 'gender': 2, 'id': 4826, 'name': 'Matti Pellonpää', 'order': 0, 'profile_path': '/7WuLvkuWphUAtW6QQwtF3WrwUKE.jpg'}, {'cast_id': 6, 'character': 'Ilona Rajamäki', 'credit_id': '52fe420dc3a36847f800008b', 'gender': 1, 'id': 5999, 'name': 'Kati Outinen', 'order': 1, 'profile_path': '/cjcuhAXRcg8C0VIDHtfz1BIVE3m.jpg'}, {'cast_id': 7, 'character': 'Melartin', 'credit_id': '52fe420dc3a36847f800008f', 'gender': 2, 'id': 4828, 'name': 'Sakari Kuosmanen', 'order': 2, 'profile_path': '/fziy9WDgG5aW2fiKpK3kK0lfhuS.jpg'}, {'cast_id': 9, 'character': 'Co-worker', 'credit_id': '52fe420dc3a36847f8000099', 'gender': 2, 'id': 53508, 'name': 'Esko Nikkari', 'order': 3, 'profile_path': '/mNiyD3BOzWba4CB0VTbIqA4EAVm.jpg'}, {'cast_id': 10, 'character': ""Ilona's Girlfriend"", 'credit_id': '52fe420dc3a36847f800009d', 'gender': 0, 'id': 1086499, 'name': 'Kylli Köngäs', 'order': 4, 'profile_path': None}, {'cast_id': 11, 'character': 'Shop Steward', 'credit_id': '52fe420dc3a36847f80000a1', 'gender': 2, 'id': 222320, 'name': 'Pekka Laiho', 'order': 5, 'profile_path': '/oLRsjrS3J9GMrPz6RsXCxhOJo9g.jpg'}, {'cast_id': 12, 'character': 'Third Man', 'credit_id': '52fe420dc3a36847f80000a5', 'gender': 0, 'id': 1086500, 'name': 'Jukka-Pekka Palo', 'order': 6, 'profile_path': None}]","[{'credit_id': '52fe420dc3a36847f8000077', 'department': 'Writing', 'gender': 0, 'id': 16767, 'job': 'Screenplay', 'name': 'Aki Kaurismäki', 'profile_path': '/8nQcTzKUmRh6MPprd1n6iOauYPf.jpg'}, {'credit_id': '52fe420dc3a36847f8000071', 'department': 'Directing', 'gender': 0, 'id': 16767, 'job': 'Director', 'name': 'Aki Kaurismäki', 'profile_path': '/8nQcTzKUmRh6MPprd1n6iOauYPf.jpg'}, {'credit_id': '5963e8a3c3a36828fc0e46e5', 'department': 'Camera', 'gender': 2, 'id': 16769, 'job': 'Director of Photography', 'name': 'Timo Salminen', 'profile_path': None}, {'credit_id': '578e77f4c3a3685acb0145d8', 'department': 'Crew', 'gender': 2, 'id': 16769, 'job': 'Compositors', 'name': 'Timo Salminen', 'profile_path': None}, {'credit_id': '52fe420dc3a36847f8000083', 'department': 'Editing', 'gender': 0, 'id': 54766, 'job': 'Editor', 'name': 'Raija Talvio', 'profile_path': None}, {'credit_id': '52fe420dc3a36847f8000095', 'department': 'Production', 'gender': 2, 'id': 54767, 'job': 'Producer', 'name': 'Mika Kaurismäki', 'profile_path': '/w7Hf3cfWEL73H82v46w4eh4NF65.jpg'}, {'credit_id': '578e7877925141540700b253', 'department': 'Camera', 'gender': 0, 'id': 545412, 'job': 'Camera Operator', 'name': 'Albert Collins', 'profile_path': '/6a9R4zyJ75gorjgiOzbRvJu7iji.jpg'}, {'credit_id': '52fe420dc3a36847f80000b1', 'department': 'Art', 'gender': 0, 'id': 1084612, 'job': 'Art Direction', 'name': 'Heikki Ukkonen', 'profile_path': None}, {'credit_id': '52fe420dc3a36847f80000ab', 'department': 'Art', 'gender': 0, 'id': 1084614, 'job': 'Art Direction', 'name': 'Pertti Hilkamo', 'profile_path': None}, {'credit_id': '5963e8c7c3a3680dec0d52e1', 'department': 'Camera', 'gender': 0, 'id': 1303969, 'job': 'Still Photographer', 'name': 'Marja-Leena Helin', 'profile_path': None}, {'credit_id': '5963e8b492514122510db369', 'department': 'Directing', 'gender': 0, 'id': 1303969, 'job': 'Script Supervisor', 'name': 'Marja-Leena Helin', 'profile_path': None}]",3
